Row ,Pot,Cluster ,Sucker,Subsucker,Weight ,BER?,Eaten,Mold? ,Unsure,Logged,Sugar Measurement 1 ,Sugar Measurement 2 ,SugarAverage
B,8,,,,132.3,N,N,N,N,5-Dec,,,0
B,4,,,,132.1,N,N,N,N,8-Dec,,,0
B,4,,,,131.9,N,N,N,N,8-Dec,,,0
D,6,,,,130.1,N,N,Y,N,25-Dec,,,0
B,3,,,,130,N,N,N,N,28-Dec,,,0
A,3,,,,129.6,N,N,N,N,15-Dec,,,0
A,2,,,,129.6,N,N,N,N,25-Dec,,,0
A,3,,,,128.8,N,N,N,N,28-Dec,,,0
C,5,,,,128.2,N,N,N,N,25-Dec,,,0
D,4,,,,127.8,N,N,N,N,15-Dec,,,0
B,4,,,,127.6,N,N,N,N,25-Dec,,,0
D,6,,,,127.4,N,N,N,N,25-Dec,,,0
B,2,,,,127.1,N,N,N,N,28-Dec,,,0
D,2,,,,126.6,N,N,Y,N,10-Dec,,,0
B,4,,,,125.9,N,N,N,N,8-Dec,,,0
A,7,,,,125.5,N,N,N,N,8-Dec,,,0
A,5,,,,125.2,N,N,N,N,5-Dec,,,0
A,5,,,,125,N,N,Y,N,8-Dec,,,0
C,3,,,,124.9,N,N,N,N,25-Dec,,,0
C,5,,,,124.1,N,N,N,N,25-Dec,,,0
A,3,,,,124,N,N,N,N,8-Dec,,,0
C,3,,,,123.6,N,N,N,N,28-Dec,,,0
D,4,,,,123.5,N,N,N,N,8-Dec,,,0
D,6,,,,123.5,N,N,N,N,25-Dec,,,0
A,2,,,,123.5,N,N,N,N,25-Dec,,,0
B,4,,,,123,N,N,N,N,28-Dec,,,0
B,8,,,,122.6,N,N,N,N,8-Dec,,,0
D,6,,,,122.6,N,N,N,N,25-Dec,,,0
B,4,,,,122.4,N,N,N,N,25-Dec,,,0
D,5,,,,121.8,N,N,N,N,25-Dec,,,0
D,4,,,,121.8,N,N,N,N,25-Dec,,,0
A,5,,,,121.4,N,N,N,N,15-Dec,,,0
C,3,,,,121.2,N,N,N,N,5-Dec,,,0
A,3,,,,120.9,N,N,N,N,15-Dec,,,0
C,7,,,,120.7,N,Y,Y,N,5-Dec,,,0
D,8,,,,119.2,N,N,N,N,25-Dec,,,0
C,1,,,,119.2,N,N,N,N,28-Dec,,,0
C,3,,,,119,N,N,N,N,25-Dec,,,0
B,4,,,,119,N,N,N,N,28-Dec,,,0
A,5,,,,118.8,N,N,N,N,15-Dec,,,0
B,4,,,,118.6,N,N,N,N,15-Dec,,,0
D,4,,,,118.6,N,N,N,N,25-Dec,,,0
B,6,,,,116.8,N,N,N,N,8-Dec,,,0
B,6,,,,115.9,N,N,N,N,10-Dec,,,0
A,7,,,,115.9,N,N,N,N,25-Dec,,,0
C,1,,,,115.7,N,N,N,N,15-Dec,,,0
B,6,,,,115.4,N,N,N,N,8-Dec,,,0
D,2,,,,115.3,N,N,N,N,15-Dec,,,0
A,3,,,,114.3,N,N,N,N,25-Dec,,,0
B,4,,,,114.2,N,N,N,N,8-Dec,,,0
C,4,,,,114.2,N,N,N,N,25-Dec,,,0
A,5,,,,114.2,N,N,N,N,28-Dec,,,0
D,6,,,,114.1,N,N,N,N,25-Dec,,,0
A,3,,,,113.7,N,N,Y,N,5-Dec,,,0
D,2,,,,113.7,N,N,N,N,25-Dec,,,0
A,8,,,,113.6,N,N,N,N,28-Dec,,,0
D,2,,,,113.6,N,N,N,N,28-Dec,,,0
D,2,,,,113.1,N,N,N,N,15-Dec,,,0
D,2,,,,112.9,N,N,N,N,15-Dec,,,0
A,1,,,,112.5,N,N,N,N,5-Dec,,,0
D,2,,,,112,N,N,N,N,8-Dec,,,0
C,2,,,,111.8,N,N,N,N,25-Dec,,,0
D,2,,,,111.8,N,N,N,N,25-Dec,,,0
D,1,,,,111.7,N,N,N,N,28-Dec,,,0
C,1,,,,111.4,N,N,Y,N,15-Dec,,,0
D,7,,,,111.1,N,N,N,N,25-Dec,,,0
C,5,,,,110.7,N,N,Y,N,10-Dec,,,0
B,8,,,,110.3,N,N,N,N,28-Dec,,,0
B,3,,,,109.5,N,N,N,N,28-Dec,,,0
D,1,,,,109.4,N,N,N,N,25-Dec,,,0
C,7,,,,109.3,N,N,N,N,28-Dec,,,0
A,4,,,,109.1,N,N,N,N,25-Dec,,,0
D,2,,,,109,N,N,N,N,25-Dec,,,0
D,8,,,,108.5,N,N,N,N,10-Dec,,,0
D,6,,,,107.8,N,N,N,N,25-Dec,,,0
C,5,,,,107.6,N,N,N,N,28-Dec,,,0
B,3,,,,107.4,N,N,N,N,28-Dec,,,0
D,8,,,,107.2,N,N,N,N,25-Dec,,,0
B,6,,,,106.9,N,N,Y,N,15-Dec,,,0
A,3,,,,106.7,N,N,N,N,25-Dec,,,0
D,1,,,,106.5,N,N,N,N,25-Dec,,,0
D,4,,,,105.8,N,N,N,N,15-Dec,,,0
A,2,,,,105.5,N,N,N,N,15-Dec,,,0
B,2,,,,105.3,N,N,N,N,28-Dec,,,0
B,6,,,,105.1,N,N,N,N,28-Dec,,,0
C,5,,,,104.3,N,N,Y,N,25-Dec,,,0
D,4,,,,103.5,N,N,Y,N,25-Dec,,,0
D,6,,,,103.4,N,N,N,N,25-Dec,,,0
B,8,,,,103,N,N,N,N,8-Dec,,,0
D,1,,,,102.1,N,N,N,N,15-Dec,,,0
D,4,,,,101.8,N,Y,Y,N,5-Dec,,,0
C,1,,,,101.7,N,N,N,N,15-Dec,,,0
C,5,,,,101.6,N,N,Y,N,25-Dec,,,0
C,3,,,,101.6,N,N,N,N,28-Dec,,,0
A,3,,,,101.2,N,N,N,N,28-Dec,,,0
C,5,,,,101.1,N,N,N,N,25-Dec,,,0
D,2,,,,100.7,N,N,N,N,25-Dec,,,0
A,5,,,,100.5,N,N,N,N,25-Dec,,,0
A,3,,,,100.1,N,N,N,N,28-Dec,,,0
C,1,,,,99.9,N,N,N,N,25-Dec,,,0
C,7,,,,99.7,N,N,N,N,28-Dec,,,0
B,4,,,,99.4,N,N,N,N,25-Dec,,,0
C,4,,,,99.3,N,N,N,N,25-Dec,,,0
D,2,,,,98.9,N,N,N,N,25-Dec,,,0
A,4,,,,98.7,N,N,N,N,15-Dec,,,0
D,8,,,,98.7,N,N,N,N,15-Dec,,,0
A,3,,,,98.6,N,N,N,N,8-Dec,,,0
D,1,,,,98.4,N,N,N,N,25-Dec,,,0
D,8,,,,98.2,N,N,N,N,25-Dec,,,0
A,3,,,,97.6,N,N,N,N,15-Dec,,,0
D,8,,,,97.5,N,N,N,N,8-Dec,,,0
A,5,,,,97.5,N,N,N,N,15-Dec,,,0
A,8,,,,97.4,N,N,N,N,25-Dec,,,0
C,2,,,,97.4,N,N,N,N,28-Dec,,,0
B,4,,,,97.2,N,N,N,N,28-Dec,,,0
C,1,,,,97.1,N,N,N,N,25-Dec,,,0
A,7,,,,97,N,N,N,N,8-Dec,,,0
C,5,,,,97,N,N,N,N,25-Dec,,,0
B,8,,,,96.9,N,N,N,N,5-Dec,,,0
B,5,,,,96.9,N,N,N,N,15-Dec,,,0
D,8,,,,96.9,N,N,N,N,25-Dec,,,0
C,3,,,,96.9,N,N,N,N,28-Dec,,,0
C,5,,,,96.4,N,N,N,N,25-Dec,,,0
C,3,,,,96.3,N,N,N,N,25-Dec,,,0
D,7,,,,96.2,N,N,N,N,25-Dec,,,0
C,4,,,,95.3,N,N,N,N,25-Dec,,,0
C,4,,,,95.2,N,N,N,N,25-Dec,,,0
D,4,,,,95,N,N,N,N,25-Dec,,,0
B,6,,,,94.9,N,N,N,N,15-Dec,,,0
B,7,,,,94.7,N,N,N,N,25-Dec,,,0
A,4,,,,94.2,N,N,N,N,25-Dec,,,0
A,3,,,,94,N,N,N,N,28-Dec,,,0
C,1,,,,93.7,N,N,N,N,25-Dec,,,0
D,4,,,,93.4,N,N,N,N,8-Dec,,,0
B,5,,,,93.3,N,N,N,N,25-Dec,,,0
B,6,,,,93.3,N,N,N,N,28-Dec,,,0
B,6,,,,93.3,N,N,N,N,28-Dec,,,0
B,2,,,,92.8,N,N,N,N,15-Dec,,,0
B,5,1,2,0,92.3,N,N,N,N,8-Nov,,,0
B,6,,,,92,N,N,N,N,28-Dec,,,0
B,2,,,,92,N,N,N,N,28-Dec,,,0
B,6,,,,91.2,N,N,N,N,25-Dec,,,0
C,5,,,,91,N,N,Y,N,15-Dec,,,0
D,7,,,,90.9,N,N,N,N,25-Dec,,,0
C,5,,,,90.8,N,N,N,N,25-Dec,,,0
C,8,,,,90,N,N,N,N,8-Dec,,,0
D,2,,,,90,N,N,N,N,28-Dec,,,0
D,8,,,,89.9,N,N,N,N,15-Dec,,,0
B,4,,,,89.6,N,N,N,N,15-Dec,,,0
D,8,,,,89,N,N,N,N,25-Dec,,,0
D,1,,,,88.8,N,N,N,N,25-Dec,,,0
D,6,,,,88.5,N,N,N,N,8-Dec,,,0
D,2,,,,88.5,N,N,N,N,25-Dec,,,0
C,1,,,,88.5,N,N,N,N,25-Dec,,,0
C,5,,,,88.2,N,N,N,N,8-Dec,,,0
B,2,,,,88.1,N,N,N,N,25-Dec,,,0
D,4,,,,88.1,N,N,N,N,28-Dec,,,0
C,1,,,,87.9,N,N,N,N,28-Dec,,,0
C,1,,,,87.3,N,N,N,N,28-Dec,,,0
C,1,,,,87.2,N,N,N,N,28-Dec,,,0
B,6,,,,87.1,N,N,N,N,15-Dec,,,0
B,1,,,,87.1,N,N,N,N,25-Dec,,,0
B,8,,,,87,N,N,Y,N,8-Dec,,,0
C,7,,,,86.7,N,N,N,Y,15-Dec,,,0
D,8,,,,85.7,N,N,N,N,28-Dec,,,0
D,8,,,,85.6,N,N,N,N,28-Dec,,,0
C,1,,,,85.5,N,N,N,N,15-Dec,,,0
A,2,,,,85.5,N,N,N,N,28-Dec,,,0
A,8,,,,85.3,N,N,N,N,25-Dec,,,0
D,8,,,,85.2,N,N,N,N,8-Dec,,,0
B,8,,,,85.2,N,N,N,N,15-Dec,,,0
A,5,,,,85,N,N,N,N,25-Dec,,,0
D,6,,,,85,N,N,N,N,25-Dec,,,0
D,4,,,,84.8,N,N,N,N,25-Dec,,,0
D,6,,,,84.7,N,N,N,N,25-Dec,,,0
D,8,,,,84.4,N,N,N,N,5-Dec,,,0
B,6,,,,84,N,N,N,N,28-Dec,,,0
D,4,,,,83.9,N,N,N,N,25-Dec,,,0
A,8,,,,83.6,N,N,N,N,25-Dec,,,0
B,6,,,,83.6,N,N,N,N,25-Dec,,,0
C,2,,,,83.4,N,N,N,N,28-Dec,,,0
C,4,,,,83.3,N,N,N,N,15-Dec,,,0
B,1,,,,83.3,N,N,N,N,25-Dec,,,0
B,1,,,,83.2,N,N,N,N,8-Dec,,,0
C,2,,,,83,N,N,N,N,25-Dec,,,0
C,1,,,,82.9,N,N,N,N,25-Dec,,,0
D,4,,,,82.7,N,N,N,N,15-Dec,,,0
B,5,,,,82.6,N,N,N,N,8-Dec,,,0
C,8,,,,82.2,N,N,N,N,10-Dec,,,0
D,6,,,,82.1,N,N,N,N,25-Dec,,,0
D,5,,,,82.1,N,N,N,N,25-Dec,,,0
D,2,,,,82,N,N,N,N,25-Dec,,,0
D,8,,,,81.9,N,N,N,N,25-Dec,,,0
D,6,,,,81.4,N,N,Y,N,25-Dec,,,0
D,4,,,,81.4,N,N,N,N,25-Dec,,,0
D,4,,,,81.2,N,N,N,N,25-Dec,,,0
D,8,,,,80.7,N,N,N,N,25-Dec,,,0
D,1,,,,80.7,N,N,N,N,25-Dec,,,0
C,1,,,,80.6,N,N,N,N,25-Dec,,,0
B,6,,,,80.5,N,N,N,N,25-Dec,,,0
C,4,,,,80.4,N,N,N,N,25-Dec,,,0
B,5,,,,80.3,N,N,N,N,25-Dec,,,0
B,1,,,,80.3,N,N,N,N,25-Dec,,,0
C,1,,,,80,N,N,N,N,25-Dec,,,0
B,7,,,,79.9,N,N,N,N,5-Dec,,,0
B,1,,,,79.9,N,N,N,N,25-Dec,,,0
C,3,,,,79.9,N,N,N,N,25-Dec,,,0
B,4,,,,79.8,N,N,N,N,25-Dec,,,0
A,8,,,,79.6,N,N,N,N,15-Dec,,,0
C,1,,,,79.6,N,N,N,N,28-Dec,,,0
B,5,,,,79.3,N,N,N,N,5-Dec,,,0
D,5,,,,79.3,N,N,N,N,25-Dec,,,0
C,4,,,,79.3,N,N,N,N,28-Dec,,,0
B,8,,,,78.9,N,N,N,N,25-Dec,,,0
C,7,,,,78.9,N,N,Y,N,25-Dec,,,0
D,8,,,,78.9,N,N,N,N,25-Dec,,,0
D,5,,,,78.8,N,N,N,N,25-Dec,,,0
D,1,,,,78.4,N,N,N,N,25-Dec,,,0
A,7,,,,78.3,N,N,N,N,25-Dec,,,0
B,4,,,,78.3,N,N,N,Y,25-Dec,,,0
D,5,,,,78.2,N,N,N,N,25-Dec,,,0
C,1,,,,78.2,N,N,N,N,25-Dec,,,0
A,6,,,,78.1,N,N,Y,N,15-Dec,,,0
C,4,,,,78.1,N,N,N,N,28-Dec,,,0
C,1,,,,77.6,N,N,N,N,25-Dec,,,0
A,4,,,,77.5,N,N,N,N,15-Dec,,,0
B,2,,,,77.4,N,N,N,N,8-Dec,,,0
A,2,,,,77.4,N,N,N,N,25-Dec,,,0
D,6,,,,77.3,N,N,N,N,15-Dec,,,0
A,6,,,,77.3,N,N,N,N,25-Dec,,,0
B,8,,,,77.2,N,N,N,N,5-Dec,,,0
B,6,,,,77,N,N,N,N,15-Dec,,,0
D,5,,,,77,N,N,N,N,25-Dec,,,0
B,2,,,,76.7,N,N,N,N,25-Dec,,,0
B,1,,,,76.5,N,N,N,N,15-Dec,,,0
B,6,,,,76.1,N,N,N,N,25-Dec,,,0
D,8,,,,75.9,N,N,N,N,28-Dec,,,0
A,6,,,,75.8,N,N,N,N,25-Dec,,,0
D,1,,,,75.8,N,N,N,N,28-Dec,,,0
A,6,,,,75.7,N,N,N,N,28-Dec,,,0
C,5,,,,75.6,N,N,N,N,25-Dec,,,0
C,1,,,,74.8,N,N,N,N,28-Dec,,,0
B,2,,,,74.7,N,N,N,N,8-Dec,,,0
B,8,,,,74.7,N,N,N,N,15-Dec,,,0
B,6,,,,74.6,N,N,N,N,8-Dec,,,0
B,1,,,,74.2,N,N,N,N,25-Dec,,,0
C,2,,,,74.1,N,N,N,N,8-Dec,,,0
D,8,,,,73.9,N,N,N,N,25-Dec,,,0
D,1,,,,73.8,N,N,N,N,25-Dec,,,0
A,8,,,,73.7,N,N,N,N,25-Dec,,,0
D,1,,,,73.7,N,N,N,N,25-Dec,,,0
B,3,,,,73.7,N,N,N,N,28-Dec,,,0
A,4,,,,73.6,N,N,N,N,25-Dec,,,0
D,5,,,,73.5,N,N,N,N,25-Dec,,,0
C,1,,,,73.3,N,N,N,N,25-Dec,,,0
D,6,,,,73.1,N,N,N,N,25-Dec,,,0
B,2,,,,72.7,N,N,N,N,25-Dec,,,0
A,4,,,,72.5,N,N,N,N,25-Dec,,,0
A,8,,,,72.2,N,N,N,N,8-Dec,,,0
B,1,,,,72,N,N,N,N,25-Dec,,,0
B,6,,,,71.5,N,N,N,N,25-Dec,,,0
A,2,,,,71.3,N,N,N,N,25-Dec,,,0
D,8,,,,71.2,N,N,N,N,8-Dec,,,0
B,5,,,,71.2,N,N,N,N,25-Dec,,,0
B,1,,,,71,N,N,N,N,5-Dec,,,0
B,8,,,,71,N,N,N,N,15-Dec,,,0
D,5,,,,71,N,N,N,N,25-Dec,,,0
C,5,,,,71,N,N,N,N,25-Dec,,,0
C,1,,,,71,N,N,N,N,25-Dec,,,0
B,1,,,,70.9,N,N,Y,N,25-Dec,,,0
D,8,,,,70.8,N,N,N,N,25-Dec,,,0
C,8,,,,70.7,N,N,N,N,25-Dec,,,0
A,2,,,,70.5,N,N,N,N,8-Dec,,,0
B,5,,,,70.5,N,N,Y,N,10-Dec,,,0
D,5,,,,70.5,N,N,N,N,15-Dec,,,0
B,2,,,,70.4,N,N,N,N,8-Dec,,,0
C,1,,,,70,N,N,N,N,25-Dec,,,0
D,5,,,,70,N,N,Y,N,25-Dec,,,0
D,5,,,,69.6,N,N,N,N,28-Dec,,,0
D,5,,,,69.5,N,N,N,N,25-Dec,,,0
D,7,,,,69.5,N,N,N,N,25-Dec,,,0
B,5,,,,69.5,N,N,N,N,28-Dec,,,0
D,2,,,,69.2,N,N,N,N,25-Dec,,,0
A,3,,,,69.2,N,N,N,N,25-Dec,,,0
B,8,,,,69,N,N,N,N,15-Dec,,,0
A,5,,,,69,N,N,Y,N,25-Dec,,,0
D,2,,,,69,N,N,N,N,25-Dec,,,0
A,5,,,,69,N,N,N,N,25-Dec,,,0
B,1,,,,69,N,N,N,N,28-Dec,,,0
D,6,,,,68.7,N,N,N,N,25-Dec,,,0
C,5,,,,68.6,N,N,N,N,25-Dec,,,0
D,4,,,,68.6,N,N,N,N,25-Dec,,,0
D,5,,,,67.9,N,N,N,N,25-Dec,,,0
D,7,,,,67.9,N,N,N,N,28-Dec,,,0
C,2,,,,67.8,N,N,N,N,28-Dec,,,0
C,7,,,,67.4,N,N,N,N,15-Dec,,,0
B,4,,,,67.3,N,N,N,N,28-Dec,,,0
B,1,,,,66.4,N,N,N,N,25-Dec,,,0
D,1,,,,66.3,N,N,N,N,25-Dec,,,0
A,3,,,,66.2,N,N,N,N,15-Dec,,,0
D,8,,,,66.1,N,N,N,N,28-Dec,,,0
C,5,,,,66,N,N,N,N,25-Dec,,,0
A,2,,,,65.6,N,N,N,N,28-Dec,,,0
C,8,,,,65.5,N,N,N,N,25-Dec,,,0
B,8,,,,65.5,N,N,N,N,28-Dec,,,0
D,2,,,,65.3,N,N,N,N,8-Dec,,,0
B,1,,,,65.3,N,N,N,N,25-Dec,,,0
B,8,,,,65.3,N,N,N,N,28-Dec,,,0
D,8,,,,65.2,N,N,N,N,15-Dec,,,0
A,8,,,,64.9,N,N,N,N,25-Dec,,,0
A,6,,,,64.8,N,N,N,N,25-Dec,,,0
D,1,,,,64.8,N,N,N,N,28-Dec,,,0
D,8,,,,64.7,N,N,N,N,28-Dec,,,0
B,1,,,,64.2,N,N,N,N,8-Dec,,,0
D,5,,,,63.8,N,N,N,N,25-Dec,,,0
D,7,,,,63.5,N,N,Y,N,5-Dec,,,0
C,4,,,,63.5,N,N,N,N,5-Dec,,,0
B,8,,,,63.5,N,N,N,N,28-Dec,,,0
D,8,,,,63.4,N,N,N,N,25-Dec,,,0
B,4,,,,63.2,N,N,N,N,8-Dec,,,0
D,4,,,,63.2,N,N,N,N,25-Dec,,,0
D,4,,,,63.2,N,N,N,N,25-Dec,,,0
B,8,,,,63.2,N,N,N,N,25-Dec,,,0
A,4,,,,63.1,N,N,N,N,25-Dec,,,0
D,7,,,,63,N,N,N,N,28-Dec,,,0
A,6,,,,62.8,N,N,N,N,8-Dec,,,0
D,5,,,,62.3,N,N,N,N,25-Dec,,,0
D,2,,,,62.3,N,N,N,N,25-Dec,,,0
C,1,,,,62.3,N,N,N,N,28-Dec,,,0
B,8,,,,62.1,N,N,N,N,28-Dec,,,0
D,2,,,,61.6,N,N,N,N,25-Dec,,,0
C,1,,,,61.6,N,N,N,N,28-Dec,,,0
D,4,,,,61.4,N,N,N,N,25-Dec,,,0
C,1,,,,61.3,N,N,N,N,15-Dec,,,0
C,3,,,,61.3,N,N,N,N,25-Dec,,,0
D,4,,,,61.3,N,N,N,N,25-Dec,,,0
B,1,,,,61.2,N,N,N,N,25-Dec,,,0
D,1,,,,61,N,N,N,N,25-Dec,,,0
D,7,,,,60.9,N,N,N,N,28-Dec,,,0
D,4,,,,60.7,N,N,N,N,28-Dec,,,0
A,5,,,,60.6,N,N,N,N,25-Dec,,,0
A,8,,,,59.9,N,N,N,N,15-Dec,,,0
A,5,,,,59.8,N,N,N,N,25-Dec,,,0
B,8,,,,59.6,N,N,N,N,8-Dec,,,0
B,5,,,,59.5,N,N,N,N,25-Dec,,,0
